2016,Up/down,2015,2014,2013,Name,Nationality,Club at Dec 20 2016,Domestic league,Age at 20 Dec 2016,RAW TOTAL,HIGHEST SCORE REMOVED,FINAL SCORE,VOTES CAST,No1 PICK,JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,JUDGES' NUMBERS ARE ALLOCATED AT RANDOM AND BEAR NO RELATION TO THE ALPHABETICAL LIST OF JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CLICK HERE FOR FULL LIST OF JUDGES AND RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
1,1,2,1,2,Cristiano Ronaldo,Portugal,Real Madrid,Spain,32,4829,40,4789,124,63,37,40,39,39,39,40,37,40,39,39,39,38,35,40,40,38,40,40,40,40,36,40,38,37,38,39,37,40,38,38,40,40,40,40,40,40,40,40,40,39,38,33,40,40,40,40,38,40,39,40,39,39,40,37,40,40,40,38,38,37,38,39,39,40,39,39,40,39,39,35,40,39,38,40,39,40,40,40,40,39,36,40,40,40,40,40,40,37,40,38,38,36,38,40,40,36,40,40,40,39,34,40,39,39,40,40,40,39,39,39,40,38,39,35,34,40,40,40,40,40,40,40,39,40
2,-1,1,2,1,Lionel Messi,Argentina,Barcelona,Spain,30,4761,40,4721,124,30,40,38,40,38,40,39,40,39,38,40,38,40,40,38,39,34,37,38,37,39,40,39,39,40,40,40,39,38,40,40,38,37,39,39,39,39,39,39,35,40,37,40,31,38,37,39,40,39,37,36,37,40,39,38,39,38,38,37,40,35,39,40,40,37,36,40,39,40,36,39,39,40,39,39,40,39,38,39,39,38,38,38,39,39,39,38,39,38,38,39,37,39,40,38,39,40,34,38,37,40,39,39,38,38,39,39,26,37,40,37,37,39,40,40,36,39,39,38,39,39,39,39,38,38
3,1,4,6,9,Luis Suarez,Uruguay,Barcelona,Spain,30,4495,40,4455,123,12,38,37,37,37,38,37,39,36,30,38,37,37,38,36,38,40,30,36,36,37,38,28,37,32,39,38,38,36,37,37,39,33,38,37,37,38,36,38,39,36,40,38,36,39,38,38,39,37,38,32,36,33,35,40,36,39,39,40,37,32,40,37,38,34,40,33,38,35,37,33,37,38,37,4,32,36,37,37,36,40,39,,37,36,37,36,38,39,33,37,40,33,39,39,33,38,36,36,38,35,40,38,36,40,38,38,27,38,37,36,38,40,37,37,37,37,38,39,37,36,37,38,40,33
4,31,35,74,,Antoine Griezmann,France,Atlético Madrid,Spain,26,4325,40,4285,122,13,39,39,33,40,33,35,38,37,40,35,21,30,37,37,35,36,21,39,38,38,35,20,40,39,36,33,40,39,39,31,34,39,34,38,35,35,37,35,38,37,39,39,39,35,,37,14,32,40,39,38,38,38,39,37,37,36,39,35,40,37,34,33,38,34,25,35,,38,38,36,36,40,35,38,38,34,36,38,30,40,35,36,38,15,39,32,40,37,40,39,35,34,34,37,32,39,39,36,24,36,31,40,36,37,27,39,40,34,40,36,28,20,36,39,36,35,35,36,37,34,37,37,39
5,-2,3,7,6,Neymar,Brazil,Barcelona,Spain,25,4288,40,4248,121,1,36,35,38,36,37,36,36,,37,37,35,39,36,35,36,35,39,19,,34,39,22,35,34,37,37,,34,35,39,36,38,35,36,36,36,32,36,36,38,35,30,32,37,39,36,37,38,35,38,34,37,37,20,38,35,37,34,39,27,32,38,34,35,38,38,37,34,27,36,38,37,36,36,35,34,39,38,33,37,30,39,35,37,35,35,36,33,36,35,34,40,32,33,36,39,37,37,35,38,33,37,37,35,36,37,35,34,36,33,32,37,38,38,38,38,37,37,35,35,38,36,36,34
6,10,16,8,7,Gareth Bale,Wales,Real Madrid,Spain,28,4096,40,4056,120,4,35,36,28,34,35,38,34,28,36,36,40,,39,39,37,39,38,37,39,35,37,19,30,35,35,36,36,37,31,30,33,32,37,30,38,29,38,37,37,,36,37,38,36,33,34,31,36,23,37,40,34,36,6,35,33,33,35,36,31,20,36,36,39,37,28,34,38,40,32,28,32,33,38,37,33,36,34,25,35,37,37,38,26,38,37,37,34,39,34,29,34,33,18,38,34,33,35,39,32,38,35,,37,35,6,37,35,35,38,39,35,,39,40,34,34,36,34,38,35,35,32,36
7,-2,5,30,18,Robert Lewandowski,Poland,Bayern Munich,Germany,29,3157,38,3119,114,0,26,,31,10,,26,31,8,29,33,17,27,34,33,,6,31,29,17,,33,25,31,25,33,19,27,22,25,29,20,29,33,35,34,19,24,32,33,33,28,24,37,25,21,31,25,33,28,31,30,27,25,28,34,36,34,32,34,38,23,28,35,31,30,30,30,,14,,34,26,18,32,22,32,12,,35,36,27,29,33,32,29,32,33,28,23,29,31,24,27,24,8,15,22,33,30,36,,33,,27,34,31,25,30,14,34,29,16,,33,31,27,30,30,38,34,30,33,28,7
8,19,27,,79,Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,Germany,28,2965,36,2929,118,0,20,11,27,31,16,29,33,3,33,25,32,,32,32,,21,34,6,25,3,34,18,29,26,27,34,10,24,32,27,35,26,28,34,17,26,26,26,28,26,16,27,33,20,31,32,15,35,24,19,11,30,19,25,29,34,32,31,27,33,2,26,25,20,28,19,20,18,31,23,35,35,26,31,30,28,18,30,20,32,31,28,18,10,22,25,27,36,32,25,36,26,29,17,29,18,6,34,28,,22,19,,29,24,25,31,31,3,29,8,15,,18,30,30,36,29,30,30,27,34,22,
9,1,10,22,95,Alexis Sánchez,Chile,Arsenal,England,29,2733,38,2695,108,0,28,29,16,29,38,30,32,28,31,29,8,23,31,34,23,,10,33,22,18,16,31,25,21,32,2,28,32,12,,,34,20,33,28,37,30,18,27,,27,3,,31,35,12,36,,3,30,29,26,21,,30,12,14,25,31,,,31,29,28,35,26,10,33,,,32,21,35,34,27,29,14,35,26,27,33,,26,20,10,34,34,13,13,12,,32,30,30,34,,26,27,31,,20,,26,30,31,30,24,27,19,5,24,19,33,26,10,31,23,32,31,29,29,23,21,30
10,87,97,,,Riyad Mahrez,Algeria,Leicester City,England,25,2622,40,2582,108,1,22,27,34,35,27,33,15,10,,31,25,,13,26,18,37,28,31,20,36,26,,3,27,31,32,,28,33,,25,36,36,29,8,10,35,29,31,35,26,26,23,11,32,33,,17,29,28,4,32,18,33,24,20,24,29,24,13,,16,15,6,33,15,4,16,28,40,27,,24,22,,27,28,21,,28,19,27,11,29,,26,2,30,35,33,23,23,15,19,28,28,24,15,,6,12,22,,13,25,34,19,33,11,28,33,24,,8,33,29,31,34,21,,,30,34,37
11,-2,9,10,10,Sergio Agüero,Argentina,Manchester City,England,29,2569,38,2531,104,0,19,13,5,16,26,27,35,29,23,32,34,21,26,25,27,,11,,19,24,27,27,33,30,30,,,,21,22,37,6,29,26,33,,28,27,16,,23,9,26,18,15,35,27,34,30,34,22,24,29,30,20,32,23,24,20,28,22,30,,,12,32,17,25,19,,33,34,19,27,23,23,,28,37,34,21,13,,33,34,17,35,29,21,24,19,22,20,,15,,,28,29,31,23,25,,14,30,36,9,24,38,19,25,,29,10,23,18,29,18,28,,31,27,,
12,19,31,23,61,Luka Modric,Croatia,Real Madrid,Spain,32,2448,36,2412,106,0,29,32,19,7,,5,27,,16,,15,,25,18,33,24,33,23,,13,31,,22,23,,31,29,31,30,24,24,14,23,19,25,22,33,33,29,,33,36,11,33,,20,9,29,32,26,33,17,34,12,22,22,20,20,28,,28,23,31,26,27,22,25,,9,31,24,29,27,19,20,35,,,34,12,23,25,34,,32,33,19,32,17,8,5,14,6,,18,22,27,8,26,34,30,26,,34,17,32,15,6,,13,10,33,,31,6,21,20,26,33,32,15,5,14,25
13,1,14,,,Kevin De Bruyne,Belgium,Manchester City,England,26,2419,38,2381,105,0,21,19,29,27,24,19,25,25,34,7,30,13,27,28,28,,24,25,31,22,30,24,28,38,29,10,5,,26,,29,22,11,15,26,16,31,28,4,28,34,18,35,23,9,,29,31,14,35,35,36,14,17,13,25,30,26,26,19,13,33,27,,4,29,23,,33,,23,31,,29,11,25,4,33,23,31,29,,,18,25,11,22,35,6,6,35,27,19,,20,13,,22,18,17,37,23,35,22,27,,,15,31,24,23,,30,27,18,,6,,17,,20,,23,19
14,34,48,68,56,Gonzalo Higuain,Argentina,Juventus,Italy,28,2184,36,2148,100,0,32,,25,13,,10,20,2,,30,20,2,22,,,27,35,,16,,19,17,36,7,4,,19,21,24,20,23,,31,16,22,24,,31,34,31,3,29,,16,5,24,,26,36,27,17,31,22,32,17,30,9,30,8,22,24,11,19,,11,,,26,22,12,15,,32,,19,24,6,,30,21,4,31,,,19,27,31,31,28,28,28,12,28,12,21,24,28,26,20,29,4,18,25,25,11,,28,16,21,15,35,36,34,17,8,32,28,,32,27,24,32,,
15,-3,12,28,5,Andrés Iniesta,Spain,Barcelona,Spain,33,2134,38,2096,87,0,,18,17,21,36,32,29,,,28,36,33,24,27,32,,22,26,28,,,38,12,22,18,35,34,,27,36,,5,,,32,6,27,23,,,,35,,21,,,30,,20,17,21,,33,,33,21,35,,15,,30,35,8,,,36,33,,8,9,8,28,,20,36,13,,32,32,18,25,16,,21,36,24,24,23,3,19,,25,26,35,30,33,5,20,27,23,,,,31,8,29,23,23,,10,,,36,22,,35,33,28,19,33,21,,17,
16,New,,,,N'Golo Kanté,France,Chelsea,England,25,2073,37,2036,89,0,30,28,,28,18,13,,,20,24,,,33,31,12,33,20,30,24,31,,,5,,17,28,,27,29,,8,7,18,27,1,25,15,34,14,7,24,28,24,,,14,,14,,23,25,15,24,,,,15,27,33,30,36,15,20,30,32,17,7,15,20,,,14,28,,29,,,24,17,29,32,22,6,28,,21,15,27,29,30,,37,24,25,32,12,,31,,,29,,,32,32,24,,32,33,35,,17,,34,,28,24,27,27,24,10,28,,
17,-6,11,20,,Paul Pogba,France ,Manchester United,England,24,1988,36,1952,94,0,31,,4,12,,15,14,28,25,,29,,5,,20,18,,2,1,,,34,27,,13,,30,30,14,26,12,28,27,,16,27,8,11,21,29,20,16,,26,,28,33,30,26,21,,22,28,16,21,,27,14,23,25,9,,28,,5,31,18,31,,,19,30,,6,,,27,29,11,19,,14,17,27,6,14,29,,27,36,17,,17,32,19,,20,29,25,19,13,36,24,24,15,18,6,22,,32,,,22,15,,26,27,24,25,22,18,25,29,21
18,-10,8,3,22,Manuel Neuer,Germany,Bayern Munich,Germany,31,1941,37,1904,93,0,7,15,21,23,13,14,,,,34,,28,17,14,14,8,,10,12,,,2,19,36,34,,35,,,8,,25,,28,30,3,,30,,16,22,,25,28,7,,35,27,15,25,,25,13,7,28,14,29,16,29,36,29,3,23,24,,3,36,10,29,,30,27,,26,26,37,19,,22,23,5,20,29,25,20,22,16,,9,,4,,,29,16,26,17,32,24,22,,24,,19,14,23,,10,22,30,,23,,14,28,24,,20,23,18,26,22,33,8
19,49,68,,,Jamie Vardy,England,Leicester City,England,29,1883,38,1845,91,0,,1,14,33,28,31,,16,19,10,31,3,,11,15,30,27,,,,25,,,17,15,30,,29,11,,28,35,6,23,,34,9,8,19,34,,31,1,,30,17,,7,17,22,,20,20,36,26,6,4,,14,34,12,,,29,9,,,17,34,37,,10,14,24,,22,29,19,13,25,,34,22,17,,20,8,10,34,,30,,8,31,22,30,31,5,,7,,27,,2,7,22,38,21,,14,18,29,32,,,33,32,31,11,14,,18,19,35
20,-13,7,13,3,Zlatan Ibrahimovic,Sweden,Manchester United,England,36,1845,36,1809,92,0,23,17,15,19,32,8,13,30,14,13,27,36,,9,17,22,,12,23,,,16,34,16,26,12,,9,28,32,22,1,32,32,,30,29,20,13,,,,22,24,34,,32,9,34,,,4,15,31,25,17,5,11,25,24,4,,,,,27,,30,,,26,,21,10,5,21,26,27,19,22,,19,31,3,5,30,25,,4,20,26,,14,36,,35,,12,34,8,7,34,,7,20,35,20,8,,25,,32,23,,27,14,,3,,3,,21,6,26
21,14,35,11,40,Toni Kroos,Germany,Real Madrid,Spain,27,1839,39,1800,81,0,,,35,22,,24,16,35,22,14,18,,15,,34,32,18,,35,17,32,35,18,28,,,31,14,,9,13,,,11,31,13,14,22,30,,18,19,,32,,27,18,20,27,,26,35,31,,16,27,31,,19,39,35,22,17,16,,,28,,,13,,22,,33,21,,,31,29,,,,23,,14,,13,9,,,25,31,,9,,,,7,33,,27,,,11,13,20,,19,26,26,,26,25,20,29,25,14,2,24,,,24,26,28
22,12,34,72,24,Gianluigi Buffon,Italy,Juventus,Italy,38,1834,37,1797,97,0,24,24,20,18,9,28,19,,18,27,24,26,30,20,5,31,,21,8,21,2,1,17,24,5,11,32,23,36,11,,27,19,24,,1,,5,18,,,,28,,,8,2,,33,10,15,,30,8,9,2,6,33,3,18,,,10,36,23,2,3,36,35,27,12,,15,4,,26,33,15,12,17,,32,32,,27,18,20,18,22,31,20,17,35,,12,37,32,13,19,18,,30,,8,22,,34,,,23,22,,13,23,,7,19,6,5,,36,19,9,15
23,3,26,54,12,Mesut Özil,Germany,Arsenal,England,29,1730,36,1694,87,0,25,4,36,25,23,21,22,23,9,11,5,24,11,17,19,,7,,34,,28,,21,33,7,,11,11,23,28,27,30,26,25,18,33,25,21,7,,31,,,29,,21,34,16,2,3,,23,11,3,7,,26,,32,26,34,27,26,,,,5,,30,,10,17,,28,9,18,,,8,33,3,,15,31,12,10,28,24,,23,,28,7,,25,,,30,21,,14,,,18,23,28,,,8,,11,,35,1,24,,,21,15,31,14,31,,
24,16,40,34,,Diego Godin,Uruguay,Atlético Madrid,Spain,31,1721,35,1686,84,0,34,8,23,,,,30,,,,22,11,29,15,29,25,17,27,,25,,,32,12,19,26,,,,,,16,30,17,20,15,13,16,12,,17,21,,27,,,8,,,,32,6,23,29,15,26,10,21,30,,,,30,5,24,,29,12,6,29,6,,31,18,25,,16,18,14,,35,30,28,,,28,26,,,32,27,,21,26,,21,13,10,11,2,35,,20,21,26,,4,,9,16,31,30,,32,21,,11,16,2,,33,20,4,29
25,12,37,32,45,Sergio Ramos,Spain,Real Madrid,Spain,31,1700,37,1663,87,0,,,13,,,20,26,34,21,16,11,6,7,23,,,,18,32,27,12,7,16,1,,23,20,33,,,,4,25,1,21,31,18,10,,17,5,,,9,2,29,,,9,13,3,,10,,23,18,21,,17,29,,,6,23,31,9,22,37,25,16,4,20,,2,33,31,32,,28,20,7,36,10,,31,,,,,17,,19,,37,24,31,35,14,13,,19,17,21,17,28,4,36,,,20,13,,28,9,32,23,21,33,29,,,26,30,
26,66,92,,,Leonardo Bonucci,Italy,Juventus,Italy,29,1621,38,1583,82,0,5,22,,,,,28,1,24,12,,,28,24,,23,23,17,3,29,,9,,,,25,4,26,20,35,,2,24,21,12,14,21,12,26,,15,25,27,,,,,,31,,,29,26,,5,28,12,36,6,,21,10,37,33,29,,27,27,26,26,2,,34,,31,,17,5,,,,24,4,,18,31,21,26,,22,,38,37,13,10,1,38,1,,30,28,,,5,19,,33,,,2,,,,30,9,11,22,,9,17,23,15,20,9
27,63,90,,,Dimitri Payet,France,West Ham United,England,29,1578,35,1543,84,0,,,11,32,,25,17,12,35,22,13,,3,22,21,29,25,32,33,19,,32,13,,14,29,,16,34,,21,8,5,31,6,32,,3,22,6,21,2,18,13,12,,19,5,18,18,13,7,27,,18,,8,,,,,17,,4,25,24,,,32,,31,,,23,,,23,,16,10,28,,20,12,24,16,5,,30,27,14,2,,11,26,,,24,5,,9,14,,,29,12,,29,24,,,,,4,,22,26,25,26,25,8,29,25,
28,18,46,,,Philippe Coutinho,Brazil,Liverpool,England,24,1541,34,1507,85,0,27,33,7,30,21,34,,19,26,21,,19,16,16,16,,,24,13,,29,,9,29,21,8,,,10,34,,,3,8,9,,,9,9,23,25,11,34,15,8,19,,10,,,23,,,2,,24,,8,22,,19,29,13,13,19,34,,,,28,7,19,,8,,5,,26,,,2,33,,30,21,6,23,,24,1,13,21,,,6,27,23,17,22,16,31,15,10,,18,11,18,,32,,9,21,,12,16,10,,,8,,25,14,31,31
29,-11,18,55,,David De Gea,Spain,Manchester United,England,27,1203,34,1169,69,0,,23,12,26,31,17,,24,,18,,,21,,24,10,,,21,,,,,13,24,,25,,9,,,,7,,19,,,17,,12,12,,,,6,26,,12,1,15,,3,,5,,23,28,,,,17,4,16,,,23,16,,,,21,,23,21,34,30,,12,9,26,24,,24,16,3,29,7,15,10,,33,13,25,,17,,,23,16,,,,,28,,33,,5,18,3,,,21,2,,15,,4,20,15,28,,,20
30,New,212=,,,Pepe,Portugal,Real Madrid,Spain,33,1090,36,1054,50,0,33,30,,,,,,,32,,26,,23,,,28,36,35,,,,,,,22,,,19,17,,,,,2,5,7,,25,32,,29,,,,,,,,5,33,31,,32,,27,,19,22,,23,,,,,,,19,,,19,,,25,,,,35,13,,,8,23,,23,,,,,31,,,,36,16,35,20,,,32,,26,12,,,33,,,,13,8,,,,6,,17,13,15,6,,,13,,
31,-25,6,5,25,Thomas Müller,Germany,Bayern Munich,Germany,28,1074,34,1040,58,0,,,32,,17,23,21,,,26,14,9,6,,,,,,,23,7,26,,,,20,,,,18,,,,14,27,18,23,6,1,,,,,34,4,30,11,,25,,,,7,14,31,3,25,,18,,27,14,22,,,,24,19,,,,33,,25,,11,20,,,,,6,16,,23,,17,25,,,,,,,,,18,25,23,28,32,20,,,,26,,,,18,6,,9,11,,,4,,,,32,,7,
32,-17,15,33,26,Arturo Vidal,Chile,Bayern Munich,Germany,30,1057,37,1020,60,0,,,,,11,,,7,28,,10,22,,,,,,,,,,37,,,28,,6,35,,21,,,8,,,28,22,,20,,32,,6,,36,,26,3,,,,11,9,4,32,,7,,13,,6,,3,,,,8,32,,22,,13,,,28,,2,,,,,21,5,,28,3,30,,,,,20,31,22,4,17,,18,14,,24,29,,,,7,29,36,,12,27,,,,,6,10,17,4,19,,11,5,32
33,5,38,,,Harry Kane,England,Tottenham Hotspur,England,23,1029,30,999,70,0,16,16,24,24,,7,,20,2,1,,20,,8,13,17,26,5,2,16,24,,,,,14,,,16,,,18,,10,4,,10,,,19,,16,29,,,18,,28,13,7,,,,11,,15,,,11,21,14,5,7,15,,,,,16,,13,,7,17,,,25,,5,16,,26,,4,,23,12,8,,5,16,,,28,5,9,29,,,,,,,6,10,21,30,28,16,,20,7,16,,15,,,14,,12,19,9,,
